SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,DSR,7.5
1,0,0,5,DSR,7.5
2,0,0,5,DSR,7.5
3,0,0,5,DSR,7.5
4,0,0,5,DSR,7.5
5,0,0,5,DSR,7.5
6,0,0,5,DSR,7.5
7,0,0,5,DSR,7.5
8,0,0,5,DSR,7.5
9,0,0,5,DSR,7.5
10,0,0,5,DSR,7.5
11,0,0,5,DSR,7.5
12,0,0,5,DSR,7.5
13,0,0,5,DSR,7.5
14,0,0,5,DSR,7.5
15,0,0,5,DSR,7.5
16,0,0,5,DSR,7.5
17,0,0,5,DSR,7.5
18,0,0,5,DSR,7.5
19,0,0,5,DSR,7.5
20,0,0,5,DSR,7.5
21,0,0,5,DSR,7.5
22,0,0,5,DSR,7.5
23,0,0,5,DSR,7.5
24,0,0,5,DSR,7.5
25,0,0,5,DSR,7.5
26,0,0,5,DSR,7.5
27,0,0,5,DSR,7.5
28,0,0,5,DSR,7.5
29,0,0,5,DSR,7.5
30,0,0,5,DSR,7.5
31,0,0,5,DSR,7.5
32,0,0,5,DSR,7.5
33,0,0,5,DSR,7.5
34,0,0,5,DSR,7.5
35,0,0,5,DSR,7.5
36,0,0,5,DSR,7.5
37,0,0,5,DSR,7.5
38,0,0,5,DSR,7.5
39,0,0,5,DSR,7.5
40,0,0,5,DSR,7.5
41,0,0,5,DSR,7.5
42,0,0,5,DSR,7.5
43,0,0,5,DSR,7.5
44,0,0,5,DSR,7.5
45,0,0,5,DSR,7.5
46,0,0,5,DSR,7.5
47,0,0,5,DSR,7.5
48,0,0,5,DSR,7.5
49,0,0,5,DSR,7.5
50,0,0,5,DSR,7.5
51,0,0,5,DSR,7.5
52,0,0,5,DSR,7.5
53,0,0,5,DSR,7.5
54,0,0,5,DSR,7.5
55,0,0,5,DSR,7.5
56,0,0,5,DSR,7.5
57,0,0,5,DSR,7.5
58,0,0,5,DSR,7.5
59,0,0,5,DSR,7.5
60,0,0,5,DSR,7.5
61,0,0,5,DSR,7.5
62,0,0,5,DSR,7.5
63,0,0,5,DSR,7.5
64,0,0,5,DSR,7.5
65,0,0,5,DSR,7.5
66,0,0,5,DSR,7.5
67,0,0,5,DSR,7.5
68,0,0,5,DSR,7.5
69,0,0,5,DSR,7.5
70,0,0,5,DSR,7.5
71,0,0,5,DSR,7.5
72,0,0,5,DSR,7.5
73,0,0,5,DSR,7.5
74,0,0,5,DSR,7.5
75,0,0,5,DSR,7.5
76,0,0,5,DSR,7.5
77,0,0,5,DSR,7.5
78,0,0,5,DSR,7.5
79,0,0,5,DSR,7.5
80,0,0,5,DSR,7.5
81,0,0,5,DSR,7.5
82,0,0,5,DSR,7.5
83,0,0,5,DSR,7.5
84,0,0,5,DSR,7.5
85,0,0,5,DSR,7.5
86,0,0,5,DSR,7.5
87,0,0,5,DSR,7.5
88,0,0,5,DSR,7.5
89,0,0,5,DSR,7.5
90,0,0,5,DSR,7.5
91,0,0,5,DSR,7.5
92,0,0,5,DSR,7.5
93,0,0,5,DSR,7.5
94,0,0,5,DSR,7.5
95,0,0,5,DSR,7.5
96,0,0,5,DSR,7.5
97,0,0,5,DSR,7.5
98,0,0,5,DSR,7.5
99,0,0,5,DSR,7.5
100,0,0,5,DSR,7.5
101,5.632,11,5,DSR,7.5
102,10.24,20,5,DSR,7.5
103,10.24,20,5,DSR,7.5
104,10.24,20,5,DSR,7.5
105,8.192,16,5,DSR,7.5
106,8.192,16,5,DSR,7.5
107,8.192,16,5,DSR,7.5
108,8.192,16,5,DSR,7.5
109,7.68,15,5,DSR,7.5
110,8.192,16,5,DSR,7.5
111,7.68,15,5,DSR,7.5
112,8.192,16,5,DSR,7.5
113,8.192,16,5,DSR,7.5
114,8.192,16,5,DSR,7.5
115,6.144,12,5,DSR,7.5
116,5.632,11,5,DSR,7.5
117,6.144,12,5,DSR,7.5
118,6.144,12,5,DSR,7.5
119,6.144,12,5,DSR,7.5
120,6.144,12,5,DSR,7.5
121,6.144,12,5,DSR,7.5
122,6.144,12,5,DSR,7.5
123,6.144,12,5,DSR,7.5
124,6.144,12,5,DSR,7.5
125,6.144,12,5,DSR,7.5
126,6.144,12,5,DSR,7.5
127,6.144,12,5,DSR,7.5
128,6.144,12,5,DSR,7.5
129,6.144,12,5,DSR,7.5
130,7.168,14,5,DSR,7.5
131,35.84,70,5,DSR,7.5
132,6.144,12,5,DSR,7.5
133,13.824,27,5,DSR,7.5
134,8.192,16,5,DSR,7.5
135,8.192,16,5,DSR,7.5
136,8.192,16,5,DSR,7.5
137,8.192,16,5,DSR,7.5
138,8.192,16,5,DSR,7.5
139,8.192,16,5,DSR,7.5
140,14.336,28,5,DSR,7.5
141,36.864,72,5,DSR,7.5
142,10.24,20,5,DSR,7.5
143,10.24,20,5,DSR,7.5
144,10.24,20,5,DSR,7.5
145,9.728,19,5,DSR,7.5
146,8.192,16,5,DSR,7.5
147,11.776,23,5,DSR,7.5
148,10.24,20,5,DSR,7.5
149,10.24,20,5,DSR,7.5
150,9.728,19,5,DSR,7.5
151,10.24,20,5,DSR,7.5
152,10.24,20,5,DSR,7.5
153,10.24,20,5,DSR,7.5
154,10.24,20,5,DSR,7.5
155,10.24,20,5,DSR,7.5
156,10.24,20,5,DSR,7.5
157,10.24,20,5,DSR,7.5
158,10.24,20,5,DSR,7.5
159,10.24,20,5,DSR,7.5
160,10.24,20,5,DSR,7.5
161,10.24,20,5,DSR,7.5
162,10.24,20,5,DSR,7.5
163,10.24,20,5,DSR,7.5
164,10.24,20,5,DSR,7.5
165,9.728,19,5,DSR,7.5
166,10.24,20,5,DSR,7.5
167,10.24,20,5,DSR,7.5
168,10.24,20,5,DSR,7.5
169,10.24,20,5,DSR,7.5
170,10.24,20,5,DSR,7.5
171,10.24,20,5,DSR,7.5
172,10.24,20,5,DSR,7.5
173,10.24,20,5,DSR,7.5
174,9.728,19,5,DSR,7.5
175,10.24,20,5,DSR,7.5
176,10.24,20,5,DSR,7.5
177,9.728,19,5,DSR,7.5
178,10.24,20,5,DSR,7.5
179,10.24,20,5,DSR,7.5
180,10.24,20,5,DSR,7.5
181,10.24,20,5,DSR,7.5
182,10.24,20,5,DSR,7.5
183,10.24,20,5,DSR,7.5
184,10.24,20,5,DSR,7.5
185,10.24,20,5,DSR,7.5
186,10.24,20,5,DSR,7.5
187,10.24,20,5,DSR,7.5
188,10.24,20,5,DSR,7.5
189,10.24,20,5,DSR,7.5
190,9.728,19,5,DSR,7.5
191,10.24,20,5,DSR,7.5
192,10.24,20,5,DSR,7.5
193,9.728,19,5,DSR,7.5
194,10.24,20,5,DSR,7.5
195,10.24,20,5,DSR,7.5
196,10.24,20,5,DSR,7.5
197,10.24,20,5,DSR,7.5
198,10.24,20,5,DSR,7.5
199,10.24,20,5,DSR,7.5
200,10.24,20,5,DSR,7.5
201,10.24,20,5,DSR,7.5
202,10.24,20,5,DSR,7.5
203,10.24,20,5,DSR,7.5
204,10.24,20,5,DSR,7.5
205,10.24,20,5,DSR,7.5
206,10.24,20,5,DSR,7.5
207,10.24,20,5,DSR,7.5
208,9.216,18,5,DSR,7.5
209,10.24,20,5,DSR,7.5
210,10.24,20,5,DSR,7.5
211,10.24,20,5,DSR,7.5
212,10.24,20,5,DSR,7.5
213,10.24,20,5,DSR,7.5
214,10.24,20,5,DSR,7.5
215,10.24,20,5,DSR,7.5
216,10.24,20,5,DSR,7.5
217,10.24,20,5,DSR,7.5
218,10.24,20,5,DSR,7.5
219,10.24,20,5,DSR,7.5
220,10.24,20,5,DSR,7.5
221,10.24,20,5,DSR,7.5
222,9.728,19,5,DSR,7.5
223,10.24,20,5,DSR,7.5
224,9.728,19,5,DSR,7.5
225,10.24,20,5,DSR,7.5
226,10.24,20,5,DSR,7.5
227,10.24,20,5,DSR,7.5
228,10.24,20,5,DSR,7.5
229,9.728,19,5,DSR,7.5
230,9.216,18,5,DSR,7.5
231,9.728,19,5,DSR,7.5
232,10.24,20,5,DSR,7.5
233,10.24,20,5,DSR,7.5
234,10.24,20,5,DSR,7.5
235,10.24,20,5,DSR,7.5
236,10.24,20,5,DSR,7.5
237,10.24,20,5,DSR,7.5
238,10.24,20,5,DSR,7.5
239,10.24,20,5,DSR,7.5
240,10.24,20,5,DSR,7.5
241,10.24,20,5,DSR,7.5
242,10.24,20,5,DSR,7.5
243,10.24,20,5,DSR,7.5
244,10.24,20,5,DSR,7.5
245,10.24,20,5,DSR,7.5
246,10.24,20,5,DSR,7.5
247,9.728,19,5,DSR,7.5
248,10.24,20,5,DSR,7.5
249,9.728,19,5,DSR,7.5
250,9.728,19,5,DSR,7.5
251,10.24,20,5,DSR,7.5
252,9.216,18,5,DSR,7.5
253,11.264,22,5,DSR,7.5
254,9.728,19,5,DSR,7.5
255,9.728,19,5,DSR,7.5
256,9.728,19,5,DSR,7.5
257,10.24,20,5,DSR,7.5
258,10.24,20,5,DSR,7.5
259,10.24,20,5,DSR,7.5
260,10.24,20,5,DSR,7.5
261,10.24,20,5,DSR,7.5
262,10.24,20,5,DSR,7.5
263,10.24,20,5,DSR,7.5
264,10.24,20,5,DSR,7.5
265,10.24,20,5,DSR,7.5
266,9.728,19,5,DSR,7.5
267,10.24,20,5,DSR,7.5
268,10.24,20,5,DSR,7.5
269,10.24,20,5,DSR,7.5
270,10.24,20,5,DSR,7.5
271,10.24,20,5,DSR,7.5
272,10.24,20,5,DSR,7.5
273,10.24,20,5,DSR,7.5
274,10.24,20,5,DSR,7.5
275,10.24,20,5,DSR,7.5
276,10.24,20,5,DSR,7.5
277,10.24,20,5,DSR,7.5
278,9.728,19,5,DSR,7.5
279,9.728,19,5,DSR,7.5
280,10.24,20,5,DSR,7.5
281,10.24,20,5,DSR,7.5
282,10.24,20,5,DSR,7.5
283,8.192,16,5,DSR,7.5
284,11.264,22,5,DSR,7.5
285,9.728,19,5,DSR,7.5
286,9.728,19,5,DSR,7.5
287,8.704,17,5,DSR,7.5
288,10.752,21,5,DSR,7.5
289,10.24,20,5,DSR,7.5
290,8.704,17,5,DSR,7.5
291,8.704,17,5,DSR,7.5
292,10.24,20,5,DSR,7.5
293,10.24,20,5,DSR,7.5
294,10.24,20,5,DSR,7.5
295,10.24,20,5,DSR,7.5
296,10.24,20,5,DSR,7.5
297,9.728,19,5,DSR,7.5
298,10.24,20,5,DSR,7.5
299,10.24,20,5,DSR,7.5
300,10.24,20,5,DSR,7.5
301,10.752,21,5,DSR,7.5
302,10.24,20,5,DSR,7.5
303,10.24,20,5,DSR,7.5
304,10.24,20,5,DSR,7.5
305,10.24,20,5,DSR,7.5
306,10.24,20,5,DSR,7.5
307,9.216,18,5,DSR,7.5
308,8.704,17,5,DSR,7.5
309,9.728,19,5,DSR,7.5
310,9.216,18,5,DSR,7.5
311,10.752,21,5,DSR,7.5
312,10.24,20,5,DSR,7.5
313,10.24,20,5,DSR,7.5
314,10.24,20,5,DSR,7.5
315,10.24,20,5,DSR,7.5
316,10.24,20,5,DSR,7.5
317,10.24,20,5,DSR,7.5
318,10.752,21,5,DSR,7.5
319,10.24,20,5,DSR,7.5
320,10.24,20,5,DSR,7.5
321,10.24,20,5,DSR,7.5
322,10.24,20,5,DSR,7.5
323,10.24,20,5,DSR,7.5
324,10.24,20,5,DSR,7.5
325,10.24,20,5,DSR,7.5
326,10.24,20,5,DSR,7.5
327,10.24,20,5,DSR,7.5
328,10.24,20,5,DSR,7.5
329,10.24,20,5,DSR,7.5
330,10.24,20,5,DSR,7.5
331,10.24,20,5,DSR,7.5
332,10.24,20,5,DSR,7.5
333,10.24,20,5,DSR,7.5
334,8.192,16,5,DSR,7.5
335,10.752,21,5,DSR,7.5
336,10.24,20,5,DSR,7.5
337,10.24,20,5,DSR,7.5
338,10.24,20,5,DSR,7.5
339,10.24,20,5,DSR,7.5
340,10.24,20,5,DSR,7.5
341,10.24,20,5,DSR,7.5
342,10.24,20,5,DSR,7.5
343,9.728,19,5,DSR,7.5
344,9.728,19,5,DSR,7.5
345,10.24,20,5,DSR,7.5
346,10.24,20,5,DSR,7.5
347,10.24,20,5,DSR,7.5
348,9.728,19,5,DSR,7.5
349,10.24,20,5,DSR,7.5
350,10.24,20,5,DSR,7.5
351,10.24,20,5,DSR,7.5
352,10.24,20,5,DSR,7.5
353,10.24,20,5,DSR,7.5
354,10.24,20,5,DSR,7.5
355,10.24,20,5,DSR,7.5
356,10.24,20,5,DSR,7.5
357,9.728,19,5,DSR,7.5
358,10.752,21,5,DSR,7.5
359,10.24,20,5,DSR,7.5
360,10.24,20,5,DSR,7.5
361,10.24,20,5,DSR,7.5
362,10.24,20,5,DSR,7.5
363,10.24,20,5,DSR,7.5
364,10.24,20,5,DSR,7.5
365,10.24,20,5,DSR,7.5
366,10.24,20,5,DSR,7.5
367,10.24,20,5,DSR,7.5
368,10.24,20,5,DSR,7.5
369,9.728,19,5,DSR,7.5
370,10.24,20,5,DSR,7.5
371,10.24,20,5,DSR,7.5
372,10.24,20,5,DSR,7.5
373,10.24,20,5,DSR,7.5
374,10.24,20,5,DSR,7.5
375,10.24,20,5,DSR,7.5
376,10.24,20,5,DSR,7.5
377,10.24,20,5,DSR,7.5
378,10.24,20,5,DSR,7.5
379,10.24,20,5,DSR,7.5
380,9.216,18,5,DSR,7.5
381,10.24,20,5,DSR,7.5
382,10.24,20,5,DSR,7.5
383,10.24,20,5,DSR,7.5
384,10.24,20,5,DSR,7.5
385,10.24,20,5,DSR,7.5
386,10.24,20,5,DSR,7.5
387,10.24,20,5,DSR,7.5
388,9.728,19,5,DSR,7.5
389,10.24,20,5,DSR,7.5
390,10.24,20,5,DSR,7.5
391,10.24,20,5,DSR,7.5
392,10.24,20,5,DSR,7.5
393,10.24,20,5,DSR,7.5
394,10.24,20,5,DSR,7.5
395,10.24,20,5,DSR,7.5
396,10.24,20,5,DSR,7.5
397,10.24,20,5,DSR,7.5
398,10.24,20,5,DSR,7.5
399,9.728,19,5,DSR,7.5
400,9.216,18,5,DSR,7.5
401,8.192,16,5,DSR,7.5
402,7.68,15,5,DSR,7.5
403,9.216,18,5,DSR,7.5
404,10.24,20,5,DSR,7.5
405,10.24,20,5,DSR,7.5
406,10.24,20,5,DSR,7.5
407,10.24,20,5,DSR,7.5
408,10.24,20,5,DSR,7.5
409,8.704,17,5,DSR,7.5
410,8.704,17,5,DSR,7.5
411,9.216,18,5,DSR,7.5
412,10.752,21,5,DSR,7.5
413,10.24,20,5,DSR,7.5
414,9.728,19,5,DSR,7.5
